Timestamp,Name,Symbol,Max Supply,Market Cap (USD),Volume 24hr (USD)
2024-05-07 14:10:31,Bitcoin,BTC,21000000.0000000000000000,1252534460985.7575635311305108,8693827284.2056336406030280
2024-05-07 15:10:40,Bitcoin,BTC,21000000.0000000000000000,1253503927277.4898919887508312,8688934586.4826733244264006
2024-05-07 16:10:31,Bitcoin,BTC,21000000.0000000000000000,1254952252394.0908606681792128,8447627559.4617109125382367
2024-05-07 17:10:32,Bitcoin,BTC,21000000.0000000000000000,1266481646566.5742593778641350,8278474097.8559341807396937
2024-05-07 18:10:36,Bitcoin,BTC,21000000.0000000000000000,1262684976863.4268701203493450,8259234452.7579266930814569
2024-05-07 19:10:31,Bitcoin,BTC,21000000.0000000000000000,1262081929187.1549724064967300,7827779178.8431218598073381
2024-05-07 20:10:47,Bitcoin,BTC,21000000.0000000000000000,1252970370592.5080785515593000,7454244351.8544434096267606
2024-05-07 21:10:27,Bitcoin,BTC,21000000.0000000000000000,1252662238348.4687158984313900,7264522641.6104921315392708
2024-05-07 22:10:02,Bitcoin,BTC,21000000.0000000000000000,1256818680583.2811274314649163,7014019148.5517744030559396
2024-05-07 23:10:42,Bitcoin,BTC,21000000.0000000000000000,1262268445070.5209538253633058,6887777037.0999485694124104
2024-05-08 00:10:31,Bitcoin,BTC,21000000.0000000000000000,1257532142981.1208136365490640,6733830703.1945763322247027
2024-05-08 01:10:32,Bitcoin,BTC,21000000.0000000000000000,1250914191459.5091451691470740,6406288680.4600356577910790
2024-05-08 02:10:23,Bitcoin,BTC,21000000.0000000000000000,1247240501023.2063956791556284,6169316377.0848225254575584
2024-05-08 03:10:31,Bitcoin,BTC,21000000.0000000000000000,1243566810586.9036461891641828,6032344073.7096093931240378
2024-05-08 04:10:34,Bitcoin,BTC,21000000.0000000000000000,1243585314962.4336454891612635,6183146451.2145703687591403
2024-05-08 05:10:33,Bitcoin,BTC,21000000.0000000000000000,1239893120151.6008966991727372,6231620414.7162169758413251
2024-05-08 06:10:37,Bitcoin,BTC,21000000.0000000000000000,1236200925343.7681479091842109,6315216911.9512783695980173
2024-05-08 07:10:32,Bitcoin,BTC,21000000.0000000000000000,1232508730535.9353991191956846,6345675015.1165574509079852
2024-05-08 08:10:31,Bitcoin,BTC,21000000.0000000000000000,1230623561325.6427952457301278,6378915321.1548741984710779
2024-05-08 09:10:30,Bitcoin,BTC,21000000.0000000000000000,1234138404241.4240126750166454,6368168868.8056001731582214
2024-05-08 10:10:30,Bitcoin,BTC,21000000.0000000000000000,1235171678122.1303809685544726,6380771837.8736703703441930
2024-05-08 11:10:46,Bitcoin,BTC,21000000.0000000000000000,1236980415005.9072614381708250,6376096833.9287532063761685
2024-05-08 12:10:37,Bitcoin,BTC,21000000.0000000000000000,1239861532974.8621144046242250,6467304915.7264489407737615
2024-05-08 13:10:32,Bitcoin,BTC,21000000.0000000000000000,1230843011763.6628388672231584,6182971833.5414423811513343
2024-05-08 14:10:45,Bitcoin,BTC,21000000.0000000000000000,1233964171771.8140593496149812,6144270929.6804709492329673
